pic,source_file,CY_index,h11,h21,rk_bk,sq_bk,dp_bk,bk_match,hodge_match,rankS,h11_minus_rankS,pic_expected,kernel_dim_match,pic1_scale_k
2,Example_Files/Y.v09.txt,54,5,63,3,3,6,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,59,5,59,3,3,9,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,68,5,51,3,6,24,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,71,5,69,3,3,6,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,73,5,65,3,6,24,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,157,5,59,3,4,8,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,161,5,53,3,3,8,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,205,5,53,3,4,9,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,215,5,55,3,5,12,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,216,5,63,3,3,7,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,220,5,55,3,6,12,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,224,5,59,3,3,8,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,295,5,43,3,4,8,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,315,5,57,3,4,10,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,378,5,59,3,3,8,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,380,5,53,3,5,13,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,406,5,62,3,3,9,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,411,5,63,3,3,8,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,429,5,56,3,5,13,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,441,5,56,3,5,13,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,453,5,57,3,4,12,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,486,5,59,3,5,10,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,495,5,59,3,4,10,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,496,5,55,3,3,8,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,499,5,51,3,3,6,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,509,5,55,3,3,8,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,515,5,51,3,3,6,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,516,5,55,3,3,6,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,531,5,51,3,4,8,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,532,5,53,3,5,14,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,550,5,53,3,3,9,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,562,5,53,3,4,8,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,568,5,51,3,4,10,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,570,5,55,3,5,14,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,584,5,57,3,4,8,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,620,5,60,3,4,8,True,True,3,2,2,True,
